frame,opening_ms,stage,focus_x,focus_z,height,pitch,yaw,fov,mission_ms
547,12,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
548,24,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
549,138,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
550,194,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
551,262,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
552,274,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
553,283,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
554,292,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
555,302,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
556,311,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
557,320,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
558,330,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
559,339,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
560,348,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
561,357,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
562,366,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
563,376,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
564,385,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
565,395,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
566,405,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
567,415,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
568,425,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
569,435,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
570,444,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
571,454,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
572,464,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
573,476,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
574,486,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
575,495,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
576,504,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
577,514,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
578,524,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
579,533,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
580,543,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
581,553,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
582,562,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
583,572,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
584,582,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
585,592,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
586,601,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
587,610,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
588,619,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
589,629,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
590,640,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
591,650,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
592,659,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
593,668,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
594,678,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
595,687,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
596,699,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
597,708,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
598,717,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
599,726,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
600,734,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
601,743,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
602,752,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
603,761,0,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
604,770,1,929.9968,401.9982,44.0000,40.0000,10.0000,36.0000,0
605,780,1,929.9933,401.9609,44.0048,40.0109,9.9956,36.0083,0
606,881,1,929.6511,398.0604,44.5109,41.1612,9.5355,36.8825,0
607,889,1,929.6057,397.5155,44.5821,41.3231,9.4708,37.0055,0
608,980,1,929.0897,390.4905,45.5160,43.4454,8.6219,38.6185,0
609,990,1,929.0362,389.6532,45.6290,43.7022,8.5191,38.8137,0
610,998,1,928.9930,388.9491,45.7245,43.9192,8.4323,38.9786,0
611,1006,1,928.9532,388.2760,45.8161,44.1276,8.3490,39.1369,0
612,1028,1,928.8469,386.3319,46.0830,44.7341,8.1064,39.5979,0
613,1035,1,928.8140,385.6765,46.1737,44.9402,8.0239,39.7545,0
614,1043,1,928.7822,385.0140,46.2657,45.1493,7.9403,39.9135,0
615,1052,1,928.7476,384.2540,46.3718,45.3904,7.8439,40.0967,0
